# Cangjie dictionary (Unihan database, Unicode License V3)
# Format: code	hanzi	freq
a	日	906
a	曰	67
aa	昌	269
aa	昍	20
aaa	晶	68
aaaa	𣊫	20
aaaa	𣊭	20
aaah	曑	67
aaam	㬪	0
aaam	曡	0
aaav	曟	0
aabt	㬈	0
aabuu	覸	0
aaf	焸	0
aahaf	鷼	20
aahaf	𪂇	20
aahm	暒	68
aahml	㫀	0
aahu	𣈲	20
aaja	龧	20
aajv	暥	0
aam	㫜	0
aamg	𤦉	20
aamh	暘	68
aamj	晘	0
aamu	㫯	0
aaph	晹	20
aapv	暍	68
aate	曝	67
aavf	㬤	0
aayf	暻	67
ab	明	859
abac	暝	68
abbe	曖	67
abbq	𣊬	20
abbt	盟	268
abbuu	覵	0
abf	焽	0
abgr	晭	0
abha	㿢	0
abhaf	鷳	51
abhf	䳟	0
abik	猒	20
abjcm	曌	67
abjj	暈	68
abjj	暉	68
abkf	㬗	0
abkq	晕	68
abme	暖	80
abme	㬊	20
abmgi	琞	20
abmr	晍	20
abms	勗	77
abof	暩	20
abou	暚	20
abt	昷	0
abu	冒	518
abug	㬬	0
abuu	晛	20
abuu	㒻	0
abwi	㬭	0
aci	昖	0
acim	暡	68
acmbc	顕	20
acnh	晜	68
acsh	昐	20
acwa	㬝	0
ad	杲	67
add	晽	20
adhaf	鷴	20
adhl	晰	68
adi	时	984
adj	昩	0
admq	暐	20
adwf	暕	68
aedhe	㿺	20
aenl	鄤	54
aeor	㬁	0
af	炅	64
af	炚	20
afbf	曭	20
afbr	㫾	0
afd	㫧	0
afdq	暽	20
aff	晱	20
afhhh	影	604
afln	㔀	0
afmbc	顥	52
afmbc	顯	52
afmbo	颢	52
afmu	晃	80
afmu	晄	68
afno	歞	20
afq	㫠	20
afqu	㒽	0
afshr	㷖	80
afyrb	䯫	0
ag	圼	0
agbt	曀	67
agcc	㬨	0
agdi	時	984
agdi	㫭	0
agg	晆	0
aggu	曉	67
agi	㫢	0
aglc	㫱	0
agrr	暿	20
ahaj	暤	20
ahaj	暭	20
ahbn	㫼	0
ahbr	晌	68
ahbr	晑	68
ahbu	眉	674
ahe	昄	68
ahey	㫡	0
ahey	昸	0
ahf	𤋁	20
ahgf	曛	67
ahgr	晧	20
ahhaf	鶍	0
ahhd	𥟟	20
ahhl	昴	68
ahhni	䬗	0
ahi	㦹	0
ahkr	㬖	0
ahln	剔	77
ahml	昕	68
ahnr	㫟	0
ahog	暀	20
ahok	敭	20
ahoo	暰	20
ahor	晷	68
ahp	惖	0
ahqm	星	630
ahqo	昳	68
ahs	昨	339
ahs	昈	20
ahsk	曒	67
ahsl	㫹	0
aht	昇	68
ahud	暞	68
ahuj	曍	20
ahum	𣊊	20
ahvi	㫝	0
ahvl	昂	178
ahxu	晲	20
ahye	敡	0
ai	旷	205
aiav	㫰	80
aibi	㬍	0
aice	晙	68
aifq	㬕	0
aihs	晟	68
aii	昿	20
aijb	晡	68
aikf	㬙	20
aikp	昽	67
aimbc	䫀	0
aimu	𣇈	20
aimvu	既	397
aine	昹	20
airf	㬃	0
aisl	即	666
aislf	䳭	80
ait	昪	68
aitc	曠	205
aj	早	641
ajb	昁	0
ajbd	㫲	20
ajbj	暔	68
ajd	昧	68
ajhaf	䳚	0
ajii	暷	20
ajka	暑	68
ajkd	㫴	0
ajkf	曢	0
ajlo	㫸	0
ajmm	暄	68
ajmu	晥	68
ajnu	晼	20
ajtu	暁	20
ajv	晏	68
ajv	㫨	0
ajye	㪋	80
ak	旲	20
akcf	暸	68
akkb	晞	68
akll	昦	68
aklu	晻	20
akms	晇	20
akn	旯	68
akp	㦔	0
aks	㫑	0
al	曱	67
albk	映	68
albo	𣋡	20
alg	堲	74
alln	昲	20
almo	晁	68
almy	㫵	20
almy	暃	20
alnc	曊	20
alwu	㫣	0
alx	㬘	0
am	旦	418
amam	晅	68
ambb	曘	67
ambc	暊	20
ambe	𣌊	20
ambg	曤	20
ambi	曇	67
ambi	㬡	0
ambk	㬉	0
ambm	𣌟	20
ambuu	𧡰	20
amcw	晒	543
amd	旴	68
amdi	㝵	80
amg	旺	68
amgc	㬄	0
amhaf	鴠	51
amhqu	毾	66
ami	戥	70
amia	㬐	0
amig	晊	20
amj	旰	68
amj	旱	68
amk	昊	68
amks	昮	20
amlk	𣆳	20
ammi	昙	67
ammk	晸	20
ammp	曬	543
ammr	晤	68
ammv	晨	338
amne	㫤	0
amo	昃	68
amob	昞	68
amob	昺	68
amrb	㬏	0
amrxu	鼂	51
amsh	昜	68
amsl	昻	68
amtb	曞	20
amtc	㫫	0
amu	㫕	0
amwf	㬓	0
amwg	量	639
amwj	曋	20
amym	昰	20
amyo	是	998
an	門	801
ana	間	883
anaa	閶	53
anam	䦔	0
anan	闁	53
anapv	䦪	0
anasm	闒	53
anau	晚	653
anau	冕	78
anav	䦘	0
anayk	閺	53
anb	閒	53
anbbe	閿	53
anbck	闝	0
anbk	㬇	0
anbuc	閴	0
anbue	闅	20
anbue	䦩	0
anbuk	闃	53
anc	䦦	0
ancr	曕	0
ancru	閱	53
and	閑	53
and	㫗	0
