# Cantonese Jyutping Dictionary (rime-cantonese CC BY 4.0 / CC-Canto CC BY-SA 3.0)
# Frequencies and standard-vocabulary coverage derived from the zh_tw
# frequency list (hermitdave/FrequencyWords, OpenSubtitles 2018, CC BY-SA 4.0)
# Format: reading	word	freq
a	啊	296
a	吖	252
aa	亞	757
aa	啊	717
aa	呀	623
aa	吖	592
aa	鴉	553
aa	啞	550
aa	婭	448
aa	丫	436
aa	掗	435
aa	阿	321
aa	扼	313
aa	雅	253
aa	枒	224
aa	椏	179
aa	呵	175
aa	俹	101
aa	咓	101
aa	𠮩	101
aa	㚳	100
aa	㝞	100
aa	㢌	100
aa	㰳	100
aa	䃁	100
aa	䢝	100
aa	亜	100
aa	唖	100
aa	埡	100
aa	妿	100
aa	孲	100
aa	氬	100
aa	瘂	100
aa	稏	100
aa	錏	100
aa	鐚	100
aa	鵶	100
aa	𥮳	100
aa	𥺼	100
aa	𦩒	100
aa	𩤃	100
aa	厊	98
aa	襾	98
aa	錒	98
aa	鈳	97
aa	嗄	95
aaaa	啊呀	416
aaaaa	啊啊啊	139
aaaaaa	啊啊啊	418
aaaao	啊啊啊	209
aaaaseng	呀呀聲	80
aaaatoulaai	阿亞圖拉	73
aaak	阿啞	40
aaaudaailuk	亞歐大陸	73
aaaudaailukfukdei	亞歐大陸腹地	66
aaaudaailukkiu	亞歐大陸橋	66
aabaa	啞巴	446
aabaa	阿爸	386
aabaa	亞伯	247
aabaa	呀爸	90
aabaa	亞爸	40
aabaabengzo	阿爸病咗	73
aabaafu	阿爸父	80
aabaahekwonglin	啞巴喫黃連	66
aabaak	亞伯	494
aabaak	阿伯	423
aabaakdaat	亞伯達	179
aabaaksizing	亞伯氏症	73
aabaakwai	啞巴虧	80
aabaalaaikaiaa	阿巴拉契亞	66
aabaazongzukgoengzukzizizau	阿壩藏族羌族自治州	66
aabai	亞跛	90
aabai	阿跛	90
aabaitokze	阿跛托蔗	73
aaban	吖笨	90
aabang	阿崩	90
aabanggiugau	阿崩叫狗	73
aabangjoenggau	阿崩養狗	73
aabangmaaifosek	阿崩買火石	66
aabangngaaugausat	阿崩咬狗虱	66
