# CC-CEDICT Chinese-English Dictionary (CC BY-SA 4.0)
# Format: reading	word	freq
a	腌	549
a	吖	76
a	呵	75
a	啊	75
a	嗄	75
a	锕	54
a	阿	53
aba	阿坝	33
aba	阿爸	33
abafu	阿爸父	13
abagaqi	阿巴嘎旗	1
abalaqiya	阿巴拉契亚	1
abasi	阿巴斯	13
abasiwangchao	阿拔斯王朝	1
abaxian	阿坝县	13
abazangzuqiangzuzizhizhou	阿坝藏族羌族自治州	1
abazhou	阿坝州	13
abeibei	阿贝贝	13
abeier	阿贝尔	13
abi	阿比	33
abi	阿鼻	33
abian	阿扁	33
abidiyu	阿鼻地狱	1
abingge	阿兵哥	13
abirang	阿比让	13
abixiniya	阿比西尼亚	1
abixiniyaren	阿比西尼亚人	1
abiya	阿彼雅	13
aboding	阿伯丁	13
aboluo	阿波罗	13
aboluojihua	阿波罗计划	1
abudabi	阿布达比	1
abudula	阿卜杜拉	1
abuhazi	阿布哈兹	1
abujia	阿布贾	13
abushayefu	阿布沙耶夫	1
abushuchun	阿布叔醇	1
abuzhabi	阿布扎比	1
achang	阿昌	33
achangzu	阿昌族	13
acheng	阿城	33
achengqu	阿城区	13
achufo	阿閦佛	13
acihaimozheng	阿茨海默症	1
adabier	阿达比尔	1
adan	阿丹	33
adela	阿得拉	13
adelaer	阿得拉尔	1
adelaide	阿得莱德	1
adelaide	阿德莱德	1
adeleide	阿德雷德	1
adi	阿弟	33
adidasi	阿迪达斯	1
adie	阿爹	33
ading	吖啶	56
adingding	吖丁啶	36
adiping	阿的平	13
adisenshibing	阿狄森氏病	1
adisiabeiba	阿迪斯阿贝巴	1
adou	阿斗	33
aduonisi	阿多尼斯	1
aduonuo	阿多诺	13
aerbaniya	阿尔巴尼亚	1
aerbaniyaren	阿尔巴尼亚人	1
aerbeisi	阿尔卑斯	1
aerbota	阿尔伯塔	1
aerbote	阿尔伯特	1
aercihaimo	阿尔茨海默	1
aercihaimobing	阿尔茨海默病	1
aercihaimoshibing	阿尔茨海默氏病	1
aercihaimoshizheng	阿尔茨海默氏症	1
aercihaimozheng	阿尔茨海默症	1
aerdusai	阿尔都塞	1
aerfa	阿尔法	13
aerfalizi	阿尔法粒子	1
aerfanan	阿尔法男	1
aergaida	阿尔盖达	1
aergesi	阿耳戈斯	1
aergunqin	阿尔衮琴	1
aerhangeersikezhou	阿尔汉格尔斯克州	1
aerjiawei	阿尔加维	1
aerjier	阿尔及尔	1
aerjiliya	阿尔及利亚	1
aerjiliyaren	阿尔及利亚人	1
aerkantala	阿尔坎塔拉	1
aerkate	阿尔卡特	1
aermeiliya	阿尔梅里亚	1
aersasi	阿尔萨斯	1
aershan	阿尔山	13
aershanshi	阿尔山市	1
aersitonggongsi	阿尔斯通公司	1
aertai	阿尔泰	13
aertaishan	阿尔泰山	1
aertaishanmai	阿尔泰山脉	1
aertaixueji	阿尔泰雪鸡	1
aertaiyu	阿尔泰语	1
aertaiziwan	阿尔泰紫菀	1
aertemisi	阿耳忒弥斯	1
aerwasaite	阿尔瓦塞特	1
afaer	阿法尔	13
afaershamo	阿法尔沙漠	1
afaluomiou	阿法罗密欧	1
afanda	阿凡达	13
afanda	阿梵达	13
afanti	阿凡提	13
afei	阿飞	33
afeilijia	阿非利加	1
afeilijiazhou	阿非利加洲	1
